Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
9082,1.19,Very Good,H,SI1,62.7,61.0,6.66,6.73,4.2,5595
18389,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73,828
12726,0.32,Ideal,G,IF,62.0,54.0,4.42,4.45,2.75,918
26555,0.73,Ideal,I,VVS1,61.8,57.0,5.75,5.77,3.56,3239
14797,1.01,Ideal,G,VS2,62.7,56.0,6.43,6.39,4.02,6108
23836,0.56,Ideal,F,VS2,62.6,55.0,5.29,5.25,3.3,1814
13121,2.22,Ideal,I,VS2,61.3,56.0,8.36,8.45,5.15,18363
20786,0.55,Very Good,F,SI1,,57.0,5.17,5.21,3.3,1271
1147,1.01,Good,H,VVS2,63.3,57.0,6.35,6.39,4.03,5988
9358,1.02,Ideal,I,SI2,62.9,56.0,6.45,6.37,4.03,3521
6503,1.07,Ideal,J,SI1,62.4,56.0,6.52,6.56,4.08,4422
13841,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,828
22408,0.5,Very Good,E,VVS2,59.3,56.0,5.25,5.3,3.13,2168
26352,1.01,Very Good,H,SI1,63.1,59.0,6.36,6.32,4.0,4836
24927,0.9,Premium,J,VS1,62.1,62.0,6.12,6.05,3.78,2964
9543,1.41,Premium,G,VS1,62.1,59.0,7.1,7.06,4.4,11347
11199,0.74,Very Good,H,VVS2,60.5,60.0,5.79,5.81,3.51,2921
19447,0.32,Ideal,H,VS2,62.1,56.0,4.42,4.37,2.73,648
1709,0.95,Premium,F,SI1,62.3,60.0,6.3,6.26,3.91,4682
206,0.51,Very Good,G,VS2,62.4,62.0,5.07,5.09,3.17,1438
11202,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,14534
21332,0.31,Ideal,F,VS1,61.0,56.0,4.38,4.4,2.68,642
13789,0.72,Very Good,G,VVS2,60.1,60.0,5.79,5.82,3.49,3449
11809,0.41,Very Good,D,VS2,62.1,53.0,4.78,4.82,2.98,912
16276,0.73,Premium,F,SI1,59.3,61.0,5.85,5.82,3.46,2346
2887,0.58,Ideal,F,VVS2,62.0,56.0,5.32,5.36,3.31,2509
19816,0.54,Ideal,J,VVS1,62.2,54.0,5.23,5.25,3.26,1239
24045,1.0,Ideal,F,VVS2,61.9,57.0,6.47,6.42,3.99,9354
22590,0.57,Premium,G,VS1,60.5,58.0,5.39,5.32,3.24,1746
4076,1.51,Very Good,J,SI2,62.8,59.0,7.23,7.26,4.55,6773
22149,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,4989
23263,0.34,Very Good,E,VS2,62.8,58.0,4.43,4.45,2.79,745
6014,0.3,Ideal,E,VS2,61.5,55.0,4.3,4.34,2.66,673
15087,0.41,Ideal,G,VS2,62.5,56.0,4.72,4.75,2.96,827
26789,0.4,Very Good,J,VS2,62.9,57.0,4.7,4.75,2.97,596
177,0.71,Ideal,G,SI1,62.5,57.0,5.72,5.64,3.55,2215
26897,0.32,Premium,G,VS1,62.1,58.0,4.39,4.37,2.72,828
15836,0.71,Ideal,H,VS2,61.8,55.0,5.73,5.75,3.55,3080
15908,0.53,Ideal,E,VS2,61.9,55.0,5.19,5.22,3.22,1721
8830,2.01,Premium,H,VS2,62.6,59.0,8.02,7.88,4.98,13599
7142,2.01,Premium,H,SI1,59.6,59.0,8.27,8.19,4.9,17458
5367,0.6,Premium,D,SI1,60.4,60.0,5.44,5.48,3.3,1896
26385,0.5,Ideal,E,VS1,61.1,58.0,5.12,5.08,3.11,2034
7344,2.01,Very Good,H,SI2,63.4,56.0,8.09,7.99,5.1,12829
25668,1.01,Premium,G,SI1,63.0,60.0,6.34,6.3,3.98,4118
7498,0.54,Ideal,E,VS2,61.1,57.0,5.24,5.26,3.21,1825
23080,0.3,Ideal,H,VVS1,61.9,57.0,4.3,4.33,2.67,665
5018,1.0,Ideal,G,VS1,62.2,56.0,6.35,6.41,3.97,6349
24845,0.56,Premium,F,SI2,60.2,58.0,5.36,5.33,3.22,1715
14799,1.64,Ideal,G,VVS2,61.8,56.0,7.59,7.6,4.69,17604
23336,0.7,Ideal,I,VS2,62.5,56.0,5.66,5.7,3.55,2232
18985,0.77,Very Good,G,VS2,61.3,60.0,5.81,5.91,3.59,2896
15192,1.01,Premium,H,SI1,62.3,58.0,6.44,6.4,4.0,5090
18285,0.33,Ideal,D,VS2,62.5,56.0,4.46,4.43,2.78,1002
1551,0.75,Very Good,E,SI1,60.2,60.0,5.89,5.93,3.56,2968
252,0.24,Very Good,E,VVS2,60.0,57.0,4.07,4.1,2.45,552
14594,1.04,Ideal,F,SI1,62.1,56.0,6.54,6.47,4.04,4426
19271,0.9,Good,H,VS1,64.1,57.0,6.07,6.04,3.88,4234
6635,0.58,Very Good,G,SI1,61.9,56.0,5.35,5.39,3.32,1379
1209,1.01,Premium,E,SI2,62.3,55.0,6.35,6.29,3.94,3674
26240,0.41,Very Good,F,VS1,61.5,57.0,4.77,4.81,2.95,974
17944,0.74,Very Good,F,SI2,63.1,55.0,5.77,5.74,3.63,2261
2400,0.56,Ideal,G,VS2,,57.0,5.37,5.39,3.21,1662
8036,1.0,Good,F,SI2,62.7,57.0,6.29,6.34,3.96,4081
16267,0.59,Ideal,D,SI2,60.2,57.0,5.47,5.42,3.28,1572
2293,0.51,Premium,G,SI1,62.0,56.0,5.14,5.12,3.18,1250
10337,1.21,Premium,H,VS2,60.5,60.0,6.95,6.9,4.19,6722
7842,1.01,Premium,E,SI2,60.4,57.0,6.53,6.49,3.93,3801
13897,1.39,Ideal,I,SI2,61.6,55.0,7.14,7.18,4.41,6544
6389,0.49,Ideal,E,VVS2,61.9,56.0,5.05,5.1,3.14,2199
26850,1.08,Premium,G,SI2,62.2,56.0,6.62,6.54,4.09,4627
9260,0.24,Very Good,F,VVS2,62.5,56.0,3.98,4.02,2.5,478
21105,0.32,Ideal,I,VS1,61.4,55.3,4.39,4.42,2.7,529
20092,1.11,Premium,G,SI1,60.1,60.0,6.73,6.68,4.03,5281
15443,0.33,Ideal,I,SI1,62.7,56.0,4.4,4.44,2.77,445
22698,0.9,Premium,G,SI1,62.7,59.0,6.14,6.1,3.84,3774
2601,0.53,Ideal,H,VS2,61.7,56.0,5.17,5.21,3.2,1435
26002,0.91,Ideal,D,VS2,,57.0,6.26,6.32,3.83,6444
2103,1.01,Ideal,H,SI1,62.7,56.0,6.41,6.44,4.03,4851
20113,0.28,Ideal,E,VS1,62.0,57.0,4.17,4.2,2.59,598
10198,0.47,Premium,D,SI1,60.6,61.0,5.04,5.0,3.04,987
23400,0.61,Good,F,VS1,60.6,60.3,5.46,5.51,3.32,2120
1749,0.43,Ideal,J,SI1,61.9,54.0,4.88,4.84,3.01,708
23722,1.03,Ideal,D,SI2,61.8,54.0,6.52,6.46,4.01,5105
7965,1.03,Ideal,F,SI2,62.4,57.0,6.43,6.38,4.0,3807
17152,0.58,Very Good,D,VS2,60.2,57.0,5.41,5.45,3.27,1977
11858,1.21,Ideal,H,VS1,62.7,56.0,6.79,6.84,4.27,6784
24038,0.44,Premium,E,VS2,60.4,59.0,4.93,4.9,2.97,1073
18327,1.06,Premium,I,SI1,61.9,59.0,6.52,6.5,4.03,4452
8786,2.04,Premium,E,SI2,62.7,60.0,8.04,8.0,5.03,15398
10184,1.13,Premium,F,IF,59.8,60.0,6.82,6.76,4.06,12549
26514,1.51,Premium,H,SI2,60.2,62.0,7.43,7.38,4.46,7340
8818,0.32,Ideal,F,VS1,61.0,56.0,4.45,4.48,2.72,716
2042,0.36,Very Good,E,VS2,62.8,56.0,4.51,4.54,2.84,789
24369,0.5,Good,E,VS2,63.1,61.0,5.0,5.05,3.17,1419
10183,1.54,Premium,F,SI2,62.0,56.0,7.51,7.4,4.62,7486
17787,1.72,Very Good,E,VS2,63.4,56.0,7.65,7.55,4.82,18557
18971,0.7,Very Good,I,SI1,61.4,57.0,5.72,5.75,3.52,2028
23994,1.12,Premium,G,SI1,59.8,58.0,6.79,6.76,4.05,5329
14301,0.42,Ideal,J,VS1,61.4,55.0,4.83,4.85,2.97,664
2562,0.71,Ideal,G,SI2,61.7,55.0,5.71,5.74,3.53,2266
17950,0.7,Premium,E,VS2,60.8,58.0,5.7,5.74,3.48,2673
9044,1.52,Good,F,VS2,64.2,59.0,7.16,7.2,4.61,11696
8188,0.57,Very Good,G,VS2,63.3,56.0,5.3,5.25,3.34,1641
14162,0.4,Ideal,G,SI2,60.6,56.0,4.82,4.76,2.91,870
10146,0.52,Very Good,E,VS1,58.9,64.0,5.23,5.3,3.1,2092
19336,0.3,Premium,G,VS1,59.6,59.0,4.34,4.38,2.6,605
6411,0.55,Premium,G,VS2,59.6,59.0,5.32,5.36,3.18,1448
2523,0.51,Premium,E,VS2,61.6,58.0,5.18,5.15,3.18,1567
25327,2.04,Premium,G,I1,62.4,58.0,8.08,8.17,5.07,9727
6628,0.61,Good,F,VS2,63.0,64.2,5.29,5.32,3.34,1971
3802,0.52,Very Good,D,SI1,62.7,56.0,5.08,5.13,3.2,1323
17026,0.3,Premium,D,SI2,61.4,59.0,4.31,4.26,2.63,574
550,0.59,Premium,H,SI1,62.9,60.0,5.34,5.24,3.33,1265
1945,0.9,Very Good,I,VS2,61.4,58.0,6.22,6.25,3.83,4089
19743,0.8,Premium,H,SI1,62.5,55.0,5.97,5.93,3.72,2553
10290,1.31,Ideal,H,VS1,62.4,56.0,7.0,6.98,4.36,8392
19833,0.33,Premium,D,SI2,62.7,58.0,4.39,4.41,2.76,492
692,0.52,Ideal,D,VS1,61.3,56.0,5.21,5.22,3.2,2550
2605,0.9,Very Good,F,SI1,,60.0,6.05,6.11,3.8,3950
21568,0.32,Ideal,F,VVS2,62.1,55.0,4.37,4.39,2.72,800
8981,0.55,Ideal,G,VS2,61.4,56.3,5.26,5.29,3.24,1662
23346,0.9,Ideal,H,VS1,62.2,58.0,6.14,6.17,3.83,4428
10854,0.4,Ideal,E,VS1,61.2,57.0,4.74,4.77,2.91,1053
24723,1.05,Very Good,E,SI2,60.5,58.0,6.55,6.6,3.98,4797
7809,0.31,Good,F,VS2,63.6,54.0,4.28,4.33,2.74,583
3321,0.79,Premium,E,VS2,59.4,60.0,6.08,6.05,3.6,3230
23214,1.21,Premium,I,SI1,61.6,58.0,6.89,6.84,4.23,5353
11244,0.3,Ideal,H,IF,62.1,57.0,4.29,4.31,2.67,764
10711,1.16,Premium,I,SI2,62.1,58.0,6.78,6.71,4.19,4326
6233,1.0,Premium,D,VS1,62.1,55.0,6.41,6.34,3.96,7812
15247,1.18,Ideal,G,VS1,61.9,56.0,6.81,6.76,4.2,8556
22542,2.15,Ideal,I,SI2,61.7,55.0,8.43,8.24,5.14,14519
6763,0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,3952
5657,0.78,Ideal,G,SI2,61.7,54.0,5.93,5.97,3.67,2485
14658,1.0,Very Good,I,SI1,63.3,58.0,6.34,6.3,4.0,4200
13913,1.22,Ideal,I,SI1,61.7,55.2,6.84,6.9,4.24,6062
16186,2.03,Very Good,D,SI2,62.4,59.0,7.98,8.04,5.0,18120
7922,0.31,Premium,E,VS2,60.8,58.0,4.35,4.37,2.65,680
8712,0.29,Very Good,G,VVS1,61.5,57.0,4.24,4.27,2.62,607
5979,0.32,Premium,H,SI1,61.9,59.0,4.41,4.38,2.72,576
12126,0.55,Premium,G,VS2,62.7,60.0,5.27,5.19,3.28,1445
9193,0.37,Ideal,G,SI1,61.9,55.0,4.62,4.66,2.87,586
324,0.32,Ideal,J,IF,62.2,56.0,4.37,4.41,2.73,533
16910,0.41,Premium,F,VS2,60.3,58.0,4.85,4.8,2.91,1107
621,0.7,Very Good,F,VS2,59.5,58.0,5.75,5.85,3.45,2812
17720,0.73,Ideal,H,SI1,62.9,58.0,5.72,5.75,3.61,2377
4151,0.94,Premium,D,SI1,60.7,60.0,6.32,6.27,3.82,4817
977,0.38,Ideal,G,SI2,62.8,57.0,4.58,4.59,2.88,566
14438,0.57,Good,D,SI2,63.8,57.0,5.24,5.26,3.35,1262
9222,1.35,Ideal,H,VS2,61.6,55.0,7.08,7.02,4.34,6502
2314,0.3,Ideal,E,VVS1,61.3,57.0,4.32,4.36,2.66,1071
7463,1.12,Premium,G,VS1,58.4,58.0,6.87,6.84,4.0,7338
6162,1.5,Very Good,H,VS1,60.7,58.0,7.35,7.42,4.48,10681
14572,0.7,Premium,F,SI1,62.9,59.0,5.67,5.62,3.55,2423
4261,0.92,Very Good,I,SI1,63.7,58.0,6.12,6.18,3.92,3345
23421,1.17,Ideal,I,SI2,61.8,54.0,6.78,6.82,4.2,4999
7431,1.15,Ideal,I,VS1,62.1,55.0,6.76,6.67,4.18,5626
6297,0.26,Very Good,H,VVS2,63.4,55.0,4.06,4.05,2.57,565
18397,0.3,Premium,I,VVS1,62.2,58.0,4.28,4.31,2.67,552
15513,0.91,Premium,H,SI1,62.2,60.0,6.22,6.16,3.85,3669
25101,0.31,Ideal,E,IF,61.3,58.0,4.37,4.4,2.69,1002
16080,0.4,Very Good,G,SI1,62.8,60.0,4.66,4.7,2.94,702
24544,1.03,Premium,E,VS2,62.5,59.0,6.44,6.42,4.02,6183
21149,0.52,Ideal,E,VVS1,59.9,57.0,5.28,5.24,3.15,2467
24203,0.71,Premium,H,SI2,62.7,57.0,5.71,5.64,3.56,2231
18889,0.31,Ideal,G,VS1,62.5,57.0,4.34,4.37,2.72,625
7754,0.32,Ideal,G,VS1,61.2,56.0,4.41,4.45,2.71,645
16385,1.08,Premium,G,VS1,63.0,59.0,6.56,6.5,4.11,7523
4449,0.23,Good,F,VVS1,58.1,52.0,4.03,4.1,2.36,458
1480,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,2797
20406,0.41,Very Good,G,VS1,60.6,56.0,4.83,4.87,2.94,976
19349,0.57,Fair,F,VVS2,65.2,56.2,5.19,5.23,3.4,1902
9091,0.44,Ideal,F,SI1,61.0,57.0,4.89,4.91,2.99,810
1693,0.3,Ideal,D,VVS2,62.1,57.0,4.27,4.3,2.66,814
1016,0.61,Very Good,E,VS2,60.0,57.0,5.52,5.55,3.32,2036
13626,0.31,Very Good,E,SI1,60.1,61.0,4.35,4.4,2.63,544
12979,0.3,Ideal,F,VS2,60.9,56.0,4.35,4.32,2.64,776
1840,0.38,Ideal,F,VS1,,57.0,4.65,4.67,2.86,929
25664,0.26,Very Good,F,VS2,62.9,59.0,4.04,4.07,2.55,453
10417,0.25,Ideal,G,VVS1,61.7,56.0,4.05,4.07,2.51,582
14469,0.34,Good,F,SI1,61.9,56.0,4.5,4.52,2.79,581
2990,1.23,Ideal,G,VVS1,61.2,56.0,6.94,6.9,4.23,11182
3946,1.0,Very Good,G,VS2,60.0,55.0,6.41,6.52,3.88,5385
9829,0.24,Good,E,VVS1,63.8,56.0,3.95,3.98,2.53,499
24506,0.3,Premium,G,VVS1,,59.0,4.33,4.37,2.64,789
7845,1.21,Very Good,F,VS2,60.1,55.0,6.91,7.01,4.18,8711
1077,1.33,Ideal,I,VVS2,62.2,56.0,7.01,7.04,4.37,7887
12082,0.9,Premium,F,SI1,62.5,62.0,6.11,6.08,3.81,3881
17383,0.77,Premium,F,SI1,60.8,59.0,5.92,5.86,3.58,2856
3868,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,802
22580,1.01,Premium,F,SI1,63.0,58.0,6.33,6.29,3.98,4632
18855,1.36,Ideal,G,VVS2,61.1,57.0,7.2,7.14,4.38,11956
18012,0.38,Ideal,F,VS1,62.8,56.0,4.64,4.59,2.9,998
9175,0.34,Very Good,F,SI2,63.3,54.0,4.48,4.46,2.83,574
23434,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3146
1473,0.52,Very Good,G,VS2,62.6,58.0,5.08,5.11,3.19,1423
7294,0.58,Ideal,D,VVS2,62.1,57.0,5.32,5.4,3.32,2617
7609,0.51,Ideal,G,VS2,62.7,57.0,5.12,5.05,3.19,1546
460,2.48,Ideal,I,SI2,62.3,57.0,8.64,8.58,5.36,12883
20591,2.22,Very Good,J,SI1,58.7,60.0,8.51,8.57,5.01,13782
13541,0.33,Fair,F,VVS2,65.7,54.0,4.37,4.3,2.85,693
6655,0.7,Good,F,VVS1,59.9,62.0,5.69,5.74,3.42,3206
17429,0.51,Ideal,E,SI1,61.4,56.0,5.15,5.17,3.17,1377
10551,0.82,Premium,H,VS1,62.3,60.0,5.97,5.94,3.71,2985
24884,0.39,Ideal,D,VVS2,61.8,57.0,4.67,4.71,2.9,1232
6129,0.76,Premium,J,VS1,61.1,58.0,5.85,5.91,3.59,2148
21886,2.02,Ideal,I,SI2,62.6,56.0,8.05,8.01,5.03,10181
23040,1.51,Premium,G,VS2,60.8,60.0,7.42,7.38,4.5,13157
12006,1.62,Ideal,E,VS2,61.4,57.0,7.54,7.58,4.64,16358
10413,1.01,Ideal,G,VS2,61.8,57.0,6.43,6.41,3.97,6504
22559,1.52,Ideal,F,VS2,,55.0,7.37,7.33,4.58,11405
12444,1.0,Ideal,G,SI2,62.3,56.0,6.46,6.44,3.96,4861
12404,2.18,Ideal,I,SI1,61.2,56.0,8.39,8.51,5.17,15646
19456,1.2,Very Good,D,SI1,62.6,59.0,6.71,6.75,4.21,7909
23090,0.31,Very Good,E,VS2,62.8,57.0,4.33,4.37,2.73,680
14006,2.0,Premium,I,VS2,60.7,60.0,8.02,8.07,4.88,16544
22630,0.32,Good,D,I1,64.0,54.0,4.33,4.36,2.78,361
11596,1.2,Very Good,G,VS2,62.0,55.0,6.8,6.84,4.23,7318
10366,2.01,Premium,J,VS2,60.4,59.0,8.1,8.15,4.91,13619
18234,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,4066
24630,1.01,Ideal,E,VS1,62.7,55.0,6.45,6.4,4.03,7665
2212,1.09,Ideal,G,VVS2,60.6,57.0,6.62,6.7,4.05,8364
6151,0.7,Good,F,VS1,64.0,57.0,5.62,5.54,3.57,2441
18868,0.65,Good,F,VS1,61.7,60.3,5.53,5.57,3.42,2406
1482,1.02,Ideal,F,SI2,61.8,57.0,6.43,6.49,3.99,4746
9240,0.31,Very Good,G,VS1,63.0,57.0,4.28,4.32,2.71,625
20931,0.29,Very Good,G,VS2,61.7,56.0,4.27,4.3,2.64,471
2460,1.1,Premium,H,SI2,62.8,55.0,6.68,6.57,4.16,4004
5128,0.71,Ideal,G,VVS2,61.5,57.0,5.74,5.78,3.54,3909
24788,0.32,Ideal,G,SI2,61.6,56.0,4.4,4.43,2.72,459
11431,1.21,Very Good,F,VS2,63.5,55.0,6.77,6.71,4.28,7928
6232,0.34,Premium,F,VS2,61.2,59.0,4.47,4.52,2.75,686
11760,0.8,Very Good,H,VS2,62.8,57.0,5.87,5.91,3.7,2808
4000,0.35,Premium,H,VS2,59.6,62.0,4.62,4.57,2.74,709
22062,0.78,Very Good,F,SI2,61.5,59.0,5.88,5.95,3.63,2307
9596,0.33,Premium,I,VS2,61.1,59.0,4.4,4.44,2.7,463
10894,0.34,Ideal,E,SI1,61.0,55.0,4.54,4.56,2.77,637
20245,1.52,Fair,H,SI1,65.3,58.0,7.14,7.1,4.65,8001
19216,0.28,Very Good,H,SI1,61.5,56.0,4.21,4.24,2.6,360
5154,1.04,Premium,G,VVS1,58.2,60.0,6.71,6.66,3.89,6890
1304,0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,521
24350,0.29,Very Good,E,VVS1,58.9,59.0,4.33,4.4,2.57,664
18497,1.54,Ideal,G,VS2,61.4,57.0,7.47,7.42,4.57,14103
3582,2.23,Very Good,J,SI2,60.5,61.0,8.4,8.47,5.1,12655
21507,2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,15877
25407,1.06,Premium,G,VS1,62.2,55.0,6.58,6.51,4.07,6853
23962,1.32,Premium,I,SI1,62.2,58.0,7.04,6.99,4.36,6283
21671,0.71,Very Good,G,SI1,62.1,58.0,5.68,5.72,3.54,2206
15884,0.34,Ideal,F,SI1,61.1,56.0,4.52,4.55,2.77,537
4904,0.77,Premium,G,SI1,60.7,58.0,5.95,5.98,3.62,2563
13935,0.58,Ideal,G,VS2,61.9,56.0,5.34,5.38,3.32,1636
13995,0.57,Ideal,E,SI1,61.8,57.0,5.33,5.28,3.28,1728
1819,0.32,Premium,I,IF,61.9,59.0,4.39,4.37,2.71,864
9697,0.75,Very Good,J,SI1,63.1,57.0,5.79,5.74,3.64,1958
13748,1.51,Premium,H,VS1,59.6,60.0,7.5,7.41,4.44,10655
6998,1.2,Ideal,I,I1,61.9,56.0,6.85,6.82,4.23,3570
18929,0.54,Ideal,D,SI1,61.7,55.0,5.23,5.27,3.24,1650
16671,0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,3034
23521,0.9,Premium,E,SI1,60.8,59.0,6.19,6.24,3.78,4463
20833,0.72,Very Good,G,SI1,63.6,56.0,5.69,5.72,3.63,2170
22010,0.5,Very Good,F,SI1,62.8,56.0,5.03,5.06,3.17,1250
13713,1.6,Ideal,F,SI2,61.7,56.0,7.5,7.53,4.64,10472
14117,1.01,Good,F,VS2,63.1,60.0,6.36,6.39,4.02,6416
22013,0.85,Ideal,D,VS2,61.9,55.0,6.07,6.14,3.78,3821
22239,0.76,Premium,E,VS2,60.5,56.0,5.98,5.95,3.61,3447
20616,0.93,Very Good,G,VS1,62.1,59.0,6.16,6.21,3.84,4879
13867,0.34,Ideal,E,SI2,62.0,56.0,4.48,4.45,2.77,612
25828,2.21,Premium,J,SI2,60.6,62.0,8.45,8.37,5.1,12327
4793,0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,3009
